news_id,original_title,generated_title,clickbait,sentence_no,sentence_raw,sentence_cleaned,used_in_title
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,1,'어쩌다 결혼' 측이 미투 대상자 최일화 출연에 대해 해명했다.,어쩌다 결혼 측이 미투 대상자 최일화 출연에 대해 해명했다,1
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,2,영화 '어쩌다 결혼'(감독 박호찬 박수진) 제작사 BA엔터테인먼트는 최일화가 영화 내에 편집 없이 출연된 것에 대한 입장을 밝혔다.,영화 어쩌다 결혼 감독 박호찬 박수진 제작사 BA엔터테인먼트는 최일화가 영화 내에 편집 없이 출연된 것에 대한 입장을 밝혔다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,3,"제작사 측은 \""'어쩌다 결혼'은 2017년 9월 중순부터 약 한 달간 촬영된 저예산 영화\""라면서 \""당시에는 최일화의 미투(Me too) 문제가 전혀 대두되지 않은 시기\""라고 말했다.",제작사 측은 어쩌다 결혼 중순부터 달간 촬영된 저예산 영화 라면서 당시에는 최일화의 미투 Me too 문제가 전혀 대두되지 않은 시기 라고 말했다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,4,"최일화는 지난해 문화계에서 미투 운동이 확산되던 때 자신이 과거 성추행 행각을 벌였던 것을 자진 고백, 활동을 중단한 바 있다.",최일화는 지난해 문화계에서 미투 운동이 확산되던 자신이 과거 성추행 행각을 벌였던 것을 자진 고백 활동을 중단한,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,5,하지만 18일 열린 '어쩌다 결혼'의 언론시사회에서 최일화가 극 중 성석(김동욱)의 부친이자 항공사 오너로 등장해 그의 복귀가 이뤄진 것 아니냐는 지적이 잇따랐다.,하지만 열린 어쩌다 결혼 언론시사회에서 최일화가 성석 김동욱 부친이자 항공사 오너로 등장해 그의 복귀가 이뤄진 아니냐는 지적이 잇따랐다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,6,최일화 이름은 출연자 목록에서 삭제된 상태다.,최일화 이름은 출연자 목록에서 삭제된 상태다,1
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,7,"이에 대해 제작사 측은 \""해당 배우의 출연 분량을 완전히 편집하거나 재촬영 하지 못한 채 개봉하게 돼 송구스럽게 생각한다\""면서 \""할 수 있는 선까지 분량을 최대한 편집했으나 주인공 아버지 역할인 만큼 이야기 전개에 지장 주는 장면까진 편집하지 못했다\""고 해명했다.",이에 대해 제작사 측은 해당 배우의 출연 분량을 완전히 편집하거나 재촬영 하지 못한 개봉하게 송구스럽게 생각한다 면서 있는 선까지 분량을 최대한 편집했으나 주인공 아버지 역할인 만큼 이야기 전개에 지장 주는 장면까진 편집하지 못했다 해명했다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,8,"이어 \""이유 여하를 막론하고 당사의 결정으로 상처 받았을 모든 분들에게 깊은 사죄 말씀 드린다\""고 말했다.",이어 이유 여하를 막론하고 당사의 결정으로 상처 받았을 모든 분들에게 깊은 사죄 말씀 드린다 말했다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,9,제작사 측은 '어쩌다 결혼'의 개봉으로 인해 최일화의 미투 피해자들의 2차 피해를 최소화하기 위한 방법을 여러 차례 모색해 봤다고도 털어놨다.,제작사 측은 어쩌다 결혼 개봉으로 인해 최일화의 미투 피해자들의 피해를 최소화하기 위한 방법을 여러 차례 모색해 봤다고도 털어놨다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,10,"재촬영만이 그 방법이었으나, 스태프들과 배우들의 스케줄 조율 및 제작비 투자 과정에서도 문제가 있었다는 게 제작사 측의 설명이다.",재촬영만이 방법이었으나 스태프들과 배우들의 스케줄 조율 제작비 투자 과정에서도 문제가 있었다는 제작사 측의 설명이다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,11,"이에 대해 제작사 측은 미디어SR에 \""'어쩌다 결혼'은 순제작비 4억 원으로 제작된 저예산 영화다. 제작비의 25%에 해당되는 금액을 투자해 다시 촬영을 진행하는 건 사실상 불가능한 일이었다\""면서 \""신인 감독, 배우 발굴을 위해 시작된 취지를 살리고 제작에 동참해 주신 분들을 위해 더 이상 개봉을 연기하긴 어렵다고 판단했다\""고 부연했다.",이에 대해 제작사 측은 미디어SR에 어쩌다 결혼 순제작비 원으로 제작된 저예산 영화다 제작비의 해당되는 금액을 투자해 다시 촬영을 진행하는 사실상 불가능한 일이었다 면서 신인 감독 배우 발굴을 위해 시작된 취지를 살리고 제작에 동참해 주신 분들을 위해 이상 개봉을 연기하긴 어렵다고 판단했다 부연했다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,12,"특히 \""이는 최일화의 복귀나 활동 재개를 의미하는 게 아니다. 이미 미투 사건 이전에 촬영해둔 영화를 1년이 지나 개봉하는 것\""임을 재차 강조하며 \""'어쩌다 결혼'의 개봉 이유를 너그러이 이해해 주시기 바란다. 영화의 모든 제작진과 관계자는 미투 운동을 지지한다. 미투 운동은 계속되어야 하고 변함없이 지지하겠다\""며 목소리를 높였다.",특히 이는 최일화의 복귀나 활동 재개를 의미하는 아니다 이미 미투 사건 이전에 촬영해둔 영화를 년이 지나 개봉하는 임을 재차 강조하며 어쩌다 결혼 개봉 이유를 너그러이 이해해 주시기 바란다 영화의 모든 제작진과 관계자는 미투 운동을 지지한다 미투 운동은 계속되어야 변함없이 지지하겠다 목소리를 높였다,0
LC_M02_197654,"'어쩌다 결혼' 측 \""최일화, 미투문제 전 촬영...복귀 아냐\""",최일화 `이곳` 출연자 목록에서 삭제된 이유는,0,13,"영화 '어쩌다 결혼'은 자유를 얻기 위해 결혼을 계획하는 '성석'(김동욱)과 내 인생을 찾기 위해 결혼을 선택한 '해주'(고성희)가 서로의 목적 달성을 위해 딱 3년만 결혼하는 '척', 같이 사는 '척' 하기로 계약하며 생긴 이야기를 그린 영화다.",영화 어쩌다 결혼 자유를 얻기 위해 결혼을 계획하는 성석 김동욱 인생을 찾기 위해 결혼을 선택한 해주 고성희 서로의 목적 달성을 위해 년만 결혼하는 같이 사는 하기로 계약하며 생긴 이야기를 그린 영화다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,1,MBC 내 전문계약직으로 운용 중인 아나운서들이 직장 내 괴롭힘 신고를 했다는 사실이 전해진 가운데 MBC 측이 조사 실시 및 법원의 판단을 기다리겠다는 방침을 전했다.,MBC 전문계약직으로 운용 중인 아나운서들이 직장 괴롭힘 신고를 했다는 사실이 전해진 가운데 MBC 측이 조사 실시 법원의 판단을 기다리겠다는 방침을 전했다,0
